time,date,itemid,price,discount,price_before_discount,stock,sold,item_status,cmt_count,liked_count,item_name,is_latest
1638587032,20211204,3947807313,9000,63%,24000,10831,3628,normal,8064,6160,"[Mã ELFLASH3 hoàn 10K xu đơn 20K] Miếng lót chuột, Bàn di chuột hình tròn 20 x 20cm Giá Rẻ siêu dễ thương",False
1638586161,20211204,3947807313,9000,63%,24000,10835,3628,normal,8063,6158,"[Mã ELFLASH3 hoàn 10K xu đơn 20K] Miếng lót chuột, Bàn di chuột hình tròn 20 x 20cm Giá Rẻ siêu dễ thương",False
1638584628,20211204,3947807313,9000,63%,24000,10835,3628,normal,8062,6157,"[Mã ELFLASH3 hoàn 10K xu đơn 20K] Miếng lót chuột, Bàn di chuột hình tròn 20 x 20cm Giá Rẻ siêu dễ thương",False
1638581569,20211204,3947807313,19000,21%,24000,39348,3628,normal,8061,6157,"[Mã ELFLASH3 hoàn 10K xu đơn 20K] Miếng lót chuột, Bàn di chuột hình tròn 20 x 20cm Giá Rẻ siêu dễ thương",False
1638577151,20211204,3947807313,19000,21%,24000,39346,3628,normal,8061,6156,"[Mã ELFLASH3 hoàn 10K xu đơn 20K] Miếng lót chuột, Bàn di chuột hình tròn 20 x 20cm Giá Rẻ siêu dễ thương",False
1638574491,20211203,3947807313,19000,21%,24000,39346,3628,normal,8061,6156,"[Mã ELFLASH3 hoàn 10K xu đơn 20K] Miếng lót chuột, Bàn di chuột hình tròn 20 x 20cm Giá Rẻ siêu dễ thương",False
1638572645,20211203,3947807313,19000,21%,24000,39346,3628,normal,8061,6155,"[Mã ELFLASH3 hoàn 10K xu đơn 20K] Miếng lót chuột, Bàn di chuột hình tròn 20 x 20cm Giá Rẻ siêu dễ thương",False
1638561865,20211203,3947807313,19000,21%,24000,39347,3628,normal,8061,6155,"[Mã ELFLASH3 hoàn 10K xu đơn 20K] Miếng lót chuột, Bàn di chuột hình tròn 20 x 20cm Giá Rẻ siêu dễ thương",False
1638559898,20211203,3947807313,19000,21%,24000,39347,3677,normal,8061,6155,"[Mã ELFLASH3 hoàn 10K xu đơn 20K] Miếng lót chuột, Bàn di chuột hình tròn 20 x 20cm Giá Rẻ siêu dễ thương",False
1638556848,20211203,3947807313,19000,21%,24000,39347,3677,normal,8060,6155,"[Mã ELFLASH3 hoàn 10K xu đơn 20K] Miếng lót chuột, Bàn di chuột hình tròn 20 x 20cm Giá Rẻ siêu dễ thương",False
1638553292,20211203,3947807313,19000,21%,24000,39348,3677,normal,8060,6155,"[Mã ELFLASH3 hoàn 10K xu đơn 20K] Miếng lót chuột, Bàn di chuột hình tròn 20 x 20cm Giá Rẻ siêu dễ thương",False
1638551832,20211203,3947807313,19000,21%,24000,39348,3677,normal,8060,6154,"[Mã ELFLASH3 hoàn 10K xu đơn 20K] Miếng lót chuột, Bàn di chuột hình tròn 20 x 20cm Giá Rẻ siêu dễ thương",False
